,name,price,rating,review,url,Manufacturer,Asin
20,"        Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment |       ",509.,4.2 out of 5 stars,12 ratings,/sspa/click?ie=UTF8&spc=MTo3NzcxNDQ1NzQ5Mjc4MDg3OjE2ODE5ODExNjA6c3BfYXRmX25leHQ6MjAxMzIwNzU1MjA2OTg6OjA6Og&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BYW5SH4L%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981160%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ManufacturerHalf_Moon,ASINB0BYW5SH4L
21,"        uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty       ","1,600.",4.1 out of 5 stars,401 ratings,/sspa/click?ie=UTF8&spc=MTo3NzcxNDQ1NzQ5Mjc4MDg3OjE2ODE5ODExNjA6c3BfYXRmX25leHQ6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981160%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ManufacturerAcefourAccessoriesPvtLtd,ASINB0BWNCV31F
22,        Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack       ,990.,4.4 out of 5 stars,"1,516 ratings",/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-35,ManufacturerGear,ASINB07G4F3758
23,        Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag       ,843,3.7 out of 5 stars,777 ratings,/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-36,ManufacturerAtulituAgency,ASINB08WQ668WJ
24,"        Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.       ","1,049",4.3 out of 5 stars,516 ratings,/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-37,ManufacturerSafari,ASINB097JHQH13
25,,,,,/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-38,ManufacturerSafari,ASINB097JHQH13
26,"        Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap       ",999.,4.2 out of 5 stars,727 ratings,/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-39,ManufacturerLenovo,ASINB08R7S55H4
27,"        TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)       ",649.,3.8 out of 5 stars,6 ratings,/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-40,ManufacturerRamaluxurystore,ASINB0BYB631NR
28,        Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag       ,751,4.0 out of 5 stars,"5,311 ratings",/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMVV77/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-41,ManufacturerAtulituAgency,ASINB07XVMVV77
29,        Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover       ,679.,3.9 out of 5 stars,"2,539 ratings",/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1681981160&sprefix=ba%2Caps%2C283&sr=8-42,ManufacturerAmazingBags,ASINB0BJ32LQ6X
30,,,,,/sspa/click?ie=UTF8&spc=MToxNDY2ODk0NDAyNjAzMDAxOjE2ODE5ODExNzY6c3BfYXRmX25leHQ6MjAxMzY4NDcxNTQwOTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BZW8KW18%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981176%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ManufacturerAmazingBags,ASINB0BJ32LQ6X
31,"        Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment |       ",509.,4.2 out of 5 stars,12 ratings,/sspa/click?ie=UTF8&spc=MToxNDY2ODk0NDAyNjAzMDAxOjE2ODE5ODExNzY6c3BfYXRmX25leHQ6MjAxMzIwNzU1MjA2OTg6OjA6Og&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BYW5SH4L%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981176%26sprefix%3Dba%252Caps%252C283%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ManufacturerHalf_Moon,ASINB0BYW5SH4L
32,"        Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)       ",599,3.8 out of 5 stars,687 ratings,/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1681981176&sprefix=ba%2Caps%2C283&sr=8-51,ManufacturerSafariIndustries,ASINB09B277CR5
33,        Arctic Fox 15 Liters Draw String Bag Lavender Backpack       ,229.,4.3 out of 5 stars,"3,054 ratings",/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1681981176&sprefix=ba%2Caps%2C283&sr=8-52,ManufacturerArcticFox,ASINB08L6Q9V1H
34,,,,,/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1681981176&sprefix=ba%2Caps%2C283&sr=8-53,ManufacturerArcticFox,ASINB08L6Q9V1H
